DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22992429,0.1389,-0.6875,-0.1119,-0.7039,-0.0446,-0.0153,-0.1113,0
22992596,0.1389,-0.6875,-0.1119,-0.7039,0.0523,0.0215,-0.1223,0
22992763,0.1389,-0.6876,-0.1119,-0.7039,-0.0603,-0.0296,-0.0944,0
22992929,0.1389,-0.6876,-0.1119,-0.7039,0.0278,-0.0013,-0.1092,0
22993096,0.1389,-0.6875,-0.1119,-0.7039,-0.0455,-0.0159,-0.1113,0
22993263,0.1388,-0.6876,-0.1119,-0.7039,0.0344,0.0110,-0.1160,0
22993429,0.1388,-0.6876,-0.1118,-0.7039,-0.0523,-0.0217,-0.1042,0
22993596,0.1388,-0.6876,-0.1118,-0.7039,0.0416,0.0011,-0.1168,0
22993763,0.1388,-0.6876,-0.1118,-0.7039,-0.0494,-0.0200,-0.0785,0
22993929,0.1387,-0.6876,-0.1117,-0.7039,0.0359,0.0135,-0.1323,0
22994096,0.1387,-0.6876,-0.1117,-0.7039,-0.0112,-0.0111,-0.0848,0
22994263,0.1387,-0.6876,-0.1117,-0.7039,0.0227,-0.0004,-0.0865,0
22994429,0.1387,-0.6876,-0.1117,-0.7039,-0.0067,-0.0039,-0.1350,0
22994596,0.1387,-0.6876,-0.1117,-0.7039,0.0078,0.0050,-0.0990,0
22994763,0.1387,-0.6876,-0.1117,-0.7039,0.0135,0.0000,-0.1121,0
22994929,0.1386,-0.6876,-0.1116,-0.7039,-0.0031,-0.0077,-0.1039,0
22995096,0.1386,-0.6876,-0.1116,-0.7039,-0.0118,0.0041,-0.1061,0
