DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.801,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22991246,0.4840,0.5033,-0.5020,0.5103,0.0023,-0.0628,-0.0526,0
22991413,0.4840,0.5033,-0.5021,0.5103,-0.0001,0.0443,-0.0643,0
22991579,0.4840,0.5034,-0.5020,0.5103,-0.0005,-0.0557,-0.0672,0
22991746,0.4839,0.5034,-0.5020,0.5103,0.0146,0.0598,-0.0566,0
22991913,0.4839,0.5034,-0.5020,0.5103,0.0015,-0.0407,-0.0646,0
22992079,0.4839,0.5034,-0.5020,0.5103,-0.0033,0.0364,-0.0488,0
22992246,0.4839,0.5034,-0.5020,0.5103,-0.0112,-0.0210,-0.0538,0
22992413,0.4839,0.5034,-0.5020,0.5103,0.0003,0.0183,-0.0678,0
22992579,0.4839,0.5034,-0.5020,0.5103,0.0056,-0.0081,-0.0476,0
22992746,0.4839,0.5034,-0.5020,0.5103,-0.0045,-0.0006,-0.0647,0
22992913,0.4839,0.5034,-0.5020,0.5103,0.0040,-0.0371,-0.0459,0
22993079,0.4839,0.5034,-0.5020,0.5103,-0.0036,0.0085,-0.0636,0
22993246,0.4839,0.5034,-0.5019,0.5103,0.0019,0.0003,-0.0571,0
22993413,0.4839,0.5035,-0.5019,0.5103,0.0052,0.0266,-0.0519,0
22993579,0.4839,0.5034,-0.5019,0.5104,-0.0040,-0.0034,-0.0464,0
22993746,0.4838,0.5035,-0.5020,0.5103,-0.0038,-0.0218,-0.0539,0
22993913,0.4839,0.5034,-0.5019,0.5104,0.0040,0.0116,-0.0585,0
22994079,0.4838,0.5035,-0.5019,0.5104,0.0095,-0.0306,-0.0526,0
22994246,0.4839,0.5035,-0.5019,0.5104,0.0303,0.0401,-0.0858,0
22994413,0.4838,0.5035,-0.5019,0.5104,-0.0092,-0.0384,-0.0559,0
22994579,0.4838,0.5035,-0.5019,0.5104,-0.0043,0.0199,-0.0495,0
22994746,0.4838,0.5035,-0.5019,0.5104,-0.0079,-0.0432,-0.0494,0
22994913,0.4838,0.5035,-0.5019,0.5104,-0.0053,0.0230,-0.0592,0
22995079,0.4838,0.5035,-0.5019,0.5104,-0.0030,-0.0413,-0.0586,0
22995246,0.4838,0.5035,-0.5019,0.5104,0.0205,0.0255,-0.0729,0
22995413,0.4838,0.5035,-0.5019,0.5104,0.0000,-0.0277,-0.0546,0
22995579,0.4838,0.5035,-0.5019,0.5104,-0.0032,0.0388,-0.0785,0
22995746,0.4838,0.5035,-0.5019,0.5105,-0.0024,-0.0331,-0.0597,0
22995913,0.4838,0.5035,-0.5019,0.5105,-0.0079,0.0271,-0.0503,0
22996079,0.4838,0.5035,-0.5019,0.5105,0.0031,-0.0284,-0.0668,0
22996246,0.4837,0.5035,-0.5019,0.5105,0.0020,0.0240,-0.0669,0
22996413,0.4837,0.5035,-0.5019,0.5105,-0.0093,-0.0311,-0.0579,0
22996579,0.4837,0.5035,-0.5019,0.5105,-0.0028,0.0075,-0.0735,0
22996746,0.4837,0.5035,-0.5019,0.5105,-0.0008,-0.0137,-0.0564,0
22996913,0.4837,0.5036,-0.5019,0.5105,0.0094,0.0121,-0.0573,0
22997079,0.4837,0.5036,-0.5018,0.5105,-0.0098,-0.0374,-0.0593,0
22997246,0.4836,0.5036,-0.5018,0.5105,-0.0035,-0.0079,-0.0619,0
22997579,0.4837,0.5036,-0.5017,0.5105,-0.0052,0.0264,-0.0566,0
22997746,0.4837,0.5036,-0.5017,0.5105,0.0046,-0.0236,-0.0500,0
22997913,0.4837,0.5037,-0.5017,0.5105,0.0077,-0.0016,-0.0380,0
22998079,0.4837,0.5036,-0.5017,0.5105,0.0032,-0.0044,-0.0470,0
22998246,0.4837,0.5037,-0.5017,0.5105,0.0141,0.0056,-0.0620,0
22998413,0.4837,0.5037,-0.5017,0.5105,-0.0072,-0.0223,-0.0570,0
22998579,0.4837,0.5037,-0.5017,0.5105,-0.0163,0.0318,-0.0632,0
22998746,0.4837,0.5037,-0.5017,0.5105,0.0122,-0.0069,-0.0453,0
22998913,0.4837,0.5037,-0.5017,0.5105,0.0039,-0.0014,-0.0607,0
22999079,0.4837,0.5036,-0.5017,0.5105,-0.0002,0.0011,-0.0518,0
22999246,0.4837,0.5036,-0.5017,0.5105,0.0136,0.0054,-0.0558,0
22999413,0.4837,0.5036,-0.5017,0.5105,0.0041,-0.0063,-0.0441,0
22999746,0.4837,0.5036,-0.5017,0.5105,-0.0092,0.0093,-0.0434,0
22999913,0.4837,0.5036,-0.5017,0.5105,-0.0054,-0.0119,-0.0534,0
23000079,0.4837,0.5037,-0.5017,0.5105,0.0103,-0.0077,-0.0648,0
23000246,0.4837,0.5037,-0.5017,0.5106,0.0026,-0.0115,-0.0591,0
23000413,0.4837,0.5037,-0.5017,0.5106,-0.0050,0.0156,-0.0605,0
23000579,0.4837,0.5037,-0.5017,0.5106,0.0184,-0.0069,-0.0716,0
23000746,0.4837,0.5037,-0.5017,0.5106,0.0071,-0.0081,-0.0680,0
