PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
164, 1292078401, 0.880954, 0.030485561, -0.4586021, -0.11258894, 0.27949044, 0.03588207, 0.23203468, 0
165, 1292095068, 0.8807988, 0.030571941, -0.45902693, -0.11204731, 0.1932864, 0.11593727, 0.23643398, 0
166, 1292111735, 0.88063866, 0.030694086, -0.45942253, -0.11165064, 0.24970956, -0.0022503703, 0.24202442, 0
167, 1292128402, 0.88058716, 0.030855209, -0.4596051, -0.11126076, 0.1501636, 0.031747416, 0.3104906, 0
168, 1292145069, 0.8806233, 0.030954368, -0.45961124, -0.110921405, 0.26753697, 0.057276074, 0.13703728, 0
169, 1292161736, 0.8804483, 0.03103483, -0.46005252, -0.110458486, 0.20242532, -0.022616379, 0.11007023, 0
170, 1292178403, 0.88036615, 0.03108387, -0.46029884, -0.110072896, 0.20911291, -0.0508988, 0.1210413, 0
171, 1292195070, 0.8802886, 0.03116903, -0.46064243, -0.109228805, 0.22480755, 0.02863701, 0.116633415, 0
172, 1292211737, 0.88008595, 0.031207897, -0.46117765, -0.108590856, 0.25436938, 0.015535799, 0.14513016, 0
173, 1292228404, 0.8800797, 0.031403802, -0.46129903, -0.10806748, 0.15573622, 0.106953144, 0.35200882, 0
174, 1292245071, 0.8802239, 0.031560313, -0.4610915, -0.10773331, 0.18135126, 0.11348749, 0.1980629, 0
175, 1292261738, 0.8803449, 0.03193942, -0.46096724, -0.10716213, 0.1825247, 0.020544626, 0.062117577, 0
176, 1292278405, 0.8803016, 0.03223186, -0.46114662, -0.1066578, 0.23881912, -0.09116813, 0.13341331, 0
177, 1292295072, 0.88032097, 0.032254186, -0.4611597, -0.10643486, 0.19205843, -0.039627086, 0.22658539, 0
178, 1292311739, 0.8803648, 0.03245231, -0.4611418, -0.106088, 0.18630654, 0.08759023, 0.064621925, 0
179, 1292328406, 0.88027215, 0.032676052, -0.46145284, -0.10543462, 0.19692296, 0.09752289, 0.09435654, 0
180, 1292345073, 0.88017607, 0.0333571, -0.46190357, -0.10404048, 0.23262379, -0.08219865, 0.22471333, 0
181, 1292361740, 0.880089, 0.033736296, -0.46227118, -0.10301589, 0.25599164, -0.062153142, 0.27898312, 0
182, 1292378407, 0.8799611, 0.033982586, -0.46264032, -0.102368906, 0.21362698, 0.0030437575, 0.28831577, 0
183, 1292395074, 0.8799685, 0.03416339, -0.46272483, -0.10186219, 0.16455919, 0.08957666, 0.2473793, 0
184, 1292411741, 0.8800736, 0.03434726, -0.46260726, -0.10142597, 0.15927355, 0.07157261, 0.22565556, 0
185, 1292428408, 0.8801398, 0.034547012, -0.46257293, -0.100938566, 0.18050548, -0.018625936, 0.24976826, 0
186, 1292445075, 0.8802058, 0.034981024, -0.4625869, -0.10014427, 0.13229375, 0.0019647907, 0.16774273, 0
187, 1292461742, 0.88027704, 0.03519511, -0.4625337, -0.09968875, 0.1787241, 0.028064426, 0.09494877, 0
188, 1292478409, 0.88035595, 0.03547001, -0.4625015, -0.099042565, 0.17187297, 0.051287983, 0.08678913, 0
189, 1292495076, 0.8805205, 0.035770796, -0.4623592, -0.09813197, 0.12237136, 0.058429874, 0.086120605, 0
190, 1292511743, 0.8806619, 0.03580492, -0.4621794, -0.09769803, 0.1878899, 0.07747672, 0.06450081, 0
191, 1292528410, 0.8807783, 0.035717934, -0.46206215, -0.097233534, 0.13485341, 0.0620964, 0.02463913, 0
192, 1292545077, 0.8807882, 0.035366785, -0.46216822, -0.09676509, 0.17943084, 0.031955954, -0.031697273, 0
193, 1292561744, 0.8807579, 0.03483981, -0.46226692, -0.09676038, 0.2655991, 3.6830743E-4, 0.09784508, 0
194, 1292578411, 0.8807553, 0.034481864, -0.4623695, -0.09642337, 0.36754337, 0.015090939, 0.20944214, 0
195, 1292595078, 0.88072467, 0.034326367, -0.46255216, -0.09588008, 0.44319043, -0.09905927, 0.3567896, 0
196, 1292611745, 0.88061965, 0.03409574, -0.4628395, -0.09553996, 0.33765075, -0.0064705187, 0.447958, 0
197, 1292628412, 0.88052535, 0.033832073, -0.46301827, -0.09563725, 0.20799802, -0.030225169, 0.41223526, 0
198, 1292645079, 0.8805636, 0.034007646, -0.4629949, -0.09533339, 0.07231672, 0.10566719, 0.26517487, 0
199, 1292661746, 0.8805385, 0.034220424, -0.46307507, -0.09510128, 0.005727743, 0.17612287, 0.104289055, 0
200, 1292678413, 0.8805288, 0.034486186, -0.46315938, -0.09468274, -0.0078059663, 0.069542006, 0.025621414, 0
201, 1292695080, 0.88066274, 0.034550793, -0.46299484, -0.09421871, 0.10823257, -0.026300183, 0.044695854, 0
202, 1292711747, 0.88067424, 0.034815915, -0.46308023, -0.09359155, 0.17090873, 0.036150146, 0.14219856, 0
203, 1292728414, 0.88096493, 0.034848895, -0.46267536, -0.09284081, 0.21919155, 0.33588633, 0.11773777, 0
204, 1292745081, 0.8808604, 0.034039143, -0.4628211, -0.09340623, 0.39442572, 0.12024036, 0.17640209, 0
205, 1292761748, 0.8806379, 0.03355824, -0.46313435, -0.09412373, 0.59196246, -0.45160317, 0.49637604, 0
206, 1292778415, 0.880605, 0.033092566, -0.46313533, -0.09458923, 0.2623729, -0.017895384, 0.56859493, 0
207, 1292795082, 0.8806644, 0.03306382, -0.46291986, -0.09509958, 0.07681157, 0.12454212, 0.2411766, 0
208, 1292811749, 0.8809128, 0.03312371, -0.4623203, -0.09569408, -0.0171126, 0.09902008, -0.034363747, 0
209, 1292828416, 0.8809038, 0.0326004, -0.46220133, -0.096527226, -0.016188966, 0.17235737, -0.065813065, 0
210, 1292845083, 0.8809708, 0.031840734, -0.4619991, -0.09713653, 0.17051625, 0.02695903, 8.72612E-4, 0
211, 1292861750, 0.8810046, 0.030624393, -0.4618856, -0.09775807, 0.272566, -0.061319493, 0.050359726, 0
212, 1292878417, 0.88103396, 0.029466568, -0.4618618, -0.09796066, 0.3371219, 0.014540593, 0.21655464, 0
213, 1292895084, 0.8810555, 0.028036322, -0.46180862, -0.09843774, 0.3951986, 0.053816374, 0.33368587, 0
214, 1292911751, 0.8808579, 0.02724138, -0.46218243, -0.09867457, 0.35413796, -0.09509491, 0.26506996, 0
215, 1292928418, 0.8806912, 0.026704893, -0.4624851, -0.09889079, 0.3197925, 0.08032825, 0.20699501, 0
216, 1292945085, 0.88050175, 0.026115853, -0.46280533, -0.09923625, 0.31163874, -0.027396556, 0.14554977, 0
217, 1292961752, 0.8804233, 0.025873952, -0.4629031, -0.09953827, 0.3200491, -0.14385633, 0.21191025, 0
218, 1292978419, 0.8803827, 0.025739782, -0.4629741, -0.09960124, 0.20500027, 0.03818832, 0.29018307, 0
219, 1292995086, 0.88038194, 0.025568433, -0.46295208, -0.099754855, 0.09056834, 0.18275173, 0.26546764, 0
220, 1293011753, 0.88043535, 0.025355864, -0.46280017, -0.100041084, 0.143844, 0.012840568, 0.15080452, 0
221, 1293028420, 0.8804615, 0.025439803, -0.46271563, -0.100182086, 0.16125879, 0.033879198, 0.15228462, 0
222, 1293045087, 0.8805378, 0.025480539, -0.46251768, -0.10041569, 0.2139077, 0.0449888, 0.18641949, 0
223, 1293061754, 0.8806308, 0.02565958, -0.4623, -0.100556776, 0.25604704, -0.040981296, 0.17622471, 0
224, 1293078421, 0.88072056, 0.02574234, -0.46210313, -0.10065476, 0.17607278, -0.011515751, 0.27179813, 0
225, 1293095088, 0.8809154, 0.02576634, -0.4616854, -0.10086029, 0.14110194, 0.049413044, 0.21143246, 0
226, 1293111755, 0.88126284, 0.025978198, -0.4609704, -0.10104128, 0.06597655, 0.1925601, 0.25863934, 0
227, 1293128422, 0.88161355, 0.026112579, -0.46022472, -0.101345226, 0.13421506, 0.08056585, 0.1909008, 0
228, 1293145089, 0.88196623, 0.02627946, -0.45950976, -0.10147643, 0.2129864, -0.08978924, 0.09403801, 0
